id_texto;texto;score_ansiedade;score_depressao;score_burnout
1015;Choveu o dia todo, não consegui sair para a rua. fui mal na prova e isso só piora meu humor. sinto um cinismo e irritação com todo mundo da faculdade. não consigo parar de pensar no prazo final.;0,658;0,395;0,259
1016;Sinto que sou um fardo para minha família e amigos. a solidão bateu forte hoje, mesmo estando rodeado de gente. comi uma coisa nova no ru, estava razoável. minhas notas vieram boas, o esforço valeu a pena!.;0,23;0,521;0,187
1017;Não estou sentindo aquela pressão de antes. lavei as roupas hoje, a pilha estava gigante. minhas notas vieram boas, o esforço valeu a pena!. me senti produtivo e o trabalho fluiu bem.;0,121;0,143;0,141
1018;Minhas notas refletem meu desinteresse. sinto que sou um fardo para minha família e amigos. lavei as roupas hoje, a pilha estava gigante.;0,401;0,404;0,371
1019;Comi uma coisa nova no ru, estava razoável. sinto que o tempo está correndo e eu estou ficando para trás. sinto que sou um fardo para minha família e amigos. o tcc está travado, não consigo escrever uma linha coerente.;0,413;0,276;0,367
1020;Tirei uma nota alta na prova difícil, estou aliviado. o trânsito estava horrível, cheguei atrasado na primeira aula. a solidão bateu forte hoje, mesmo estando rodeado de gente.;0,275;0,299;0,172
1021;Estou exausto. o corpo dói e a mente está lenta. comi uma coisa nova no ru, estava razoável. me senti produtivo e o trabalho fluiu bem. estou animado com o novo tópico da matéria. as preocupações de ontem diminuíram hoje.;0,257;0,154;0,348
1022;Consegui avançar muito no projeto de pesquisa. lavei as roupas hoje, a pilha estava gigante. minha cabeça não desliga, repasso tudo mil vezes antes de dormir. o esforço valeu a pena, senti-me competente. não estou sentindo aquela pressão de antes.;0,151;0,167;0,296
1023;Consegui ter um bom tempo de descanso hoje. fui mal na prova e isso só piora meu humor. as coisas parecem sob controle. comi uma coisa nova no ru, estava razoável.;0,258;0,181;0,227
1024;Sinto um cinismo e irritação com todo mundo da faculdade. comi uma coisa nova no ru, estava razoável. tudo parece cinzento e sem cor. minhas notas refletem meu desinteresse.;0,204;0,336;0,553
1025;Consegui avançar muito no projeto de pesquisa. é um esforço enorme levantar da cama. não vejo sentido em continuar tentando. o trânsito estava horrível, cheguei atrasado na primeira aula.;0,41;0,216;0,354
1026;Não sinto mais prazer nas coisas que gostava. choveu o dia todo, não consegui sair para a rua. tudo parece cinzento e sem cor. minhas notas refletem meu desinteresse.;0,261;0,562;0,397
1027;Não vejo sentido em continuar tentando. tudo parece cinzento e sem cor. minhas notas refletem meu desinteresse. comi uma coisa nova no ru, estava razoável.;0,181;0,356;0,59
1028;O tcc está travado, não consigo escrever uma linha coerente. meu estômago está revirado só de pensar na próxima apresentação. choveu o dia todo, não consegui sair para a rua. sinto um cinismo e irritação com todo mundo da faculdade.;0,605;0,27;0,299
1029;Não sinto mais prazer nas coisas que gostava. minhas notas refletem meu desinteresse. choveu o dia todo, não consegui sair para a rua. é um esforço enorme levantar da cama.;0,37;0,545;0,46
1030;Estou com medo de ser reprovado em duas matérias. estou desorientado e não consigo manter o foco em nada. comi uma coisa nova no ru, estava razoável. meu estômago está revirado só de pensar na próxima apresentação. sinto um cinismo e irritação com todo mundo da faculdade. é um esforço enorme levantar da cama.;0,698;0,214;0,233
1031;Estou com medo de ser reprovado em duas matérias. lavei as roupas hoje, a pilha estava gigante.;0,485;0,312;0,18
1032;O esforço valeu a pena, senti-me competente. as preocupações de ontem diminuíram hoje. estou animado com o novo tópico da matéria. o trânsito estava horrível, cheguei atrasado na primeira aula.;0,3;0,095;0,207
1033;Comi uma coisa nova no ru, estava razoável. sinto que sou um fardo para minha família e amigos. minha cabeça não desliga, repasso tudo mil vezes antes de dormir. fui mal na prova e isso só piora meu humor. não consigo parar de pensar no prazo final. sinto que o tempo está correndo e eu estou ficando para trás. não vejo sentido em continuar tentando.;0,574;0,351;0,384
1034;Consegui ter um bom tempo de descanso hoje. estou desorientado e não consigo manter o foco em nada. minhas notas vieram boas, o esforço valeu a pena!. o trânsito estava horrível, cheguei atrasado na primeira aula. consegui me organizar bem para a prova.;0,307;0,186;0,182
1035;É um esforço enorme levantar da cama. estou desorientado e não consigo manter o foco em nada. a faculdade virou uma tortura, o trabalho nunca acaba. meu estômago está revirado só de pensar na próxima apresentação. comi uma coisa nova no ru, estava razoável. não sinto mais prazer nas coisas que gostava. tenho tido ataques de pânico leves no meio da noite. sinto que o tempo está correndo e eu estou ficando para trás. minhas notas refletem meu desinteresse.;0,65;0,335;0,51
1036;Lavei as roupas hoje, a pilha estava gigante. tenho acumulado muitas faltas, a recuperação será difícil. não sinto mais prazer nas coisas que gostava.;0,254;0,406;0,251
1037;Consegui avançar muito no projeto de pesquisa. não consigo parar de pensar no prazo final. não vejo sentido em continuar tentando. sinto que o tempo está correndo e eu estou ficando para trás. tudo parece cinzento e sem cor. lavei as roupas hoje, a pilha estava gigante. tenho tido ataques de pânico leves no meio da noite.;0,602;0,238;0,269
1038;Choveu o dia todo, não consegui sair para a rua. sinto que o tempo está correndo e eu estou ficando para trás. tirei uma nota alta na prova difícil, estou aliviado. meu estômago está revirado só de pensar na próxima apresentação. tenho tido ataques de pânico leves no meio da noite.;0,628;0,307;0,083
1039;Tirei uma nota alta na prova difícil, estou aliviado. o esforço valeu a pena, senti-me competente. consegui me organizar bem para a prova. comi uma coisa nova no ru, estava razoável.;0,124;0,102;0,149
1040;Consegui me organizar bem para a prova. consegui ter um bom tempo de descanso hoje. choveu o dia todo, não consegui sair para a rua. estou animado com o novo tópico da matéria. tenho tido ataques de pânico leves no meio da noite.;0,472;0,163;0,064
1041;Consegui avançar muito no projeto de pesquisa. choveu o dia todo, não consegui sair para a rua. sinto que sou um fardo para minha família e amigos. não vejo sentido em continuar tentando.;0,332;0,522;0,315
1042;Me senti produtivo e o trabalho fluiu bem. tirei uma nota alta na prova difícil, estou aliviado. as coisas parecem sob controle. comi uma coisa nova no ru, estava razoável.;0,07;0,101;0,173
1043;As preocupações de ontem diminuíram hoje. me senti produtivo e o trabalho fluiu bem. consegui avançar muito no projeto de pesquisa. estou sempre preocupado com o que pode dar errado. minha cabeça não desliga, repasso tudo mil vezes antes de dormir. o trânsito estava horrível, cheguei atrasado na primeira aula.;0,5;0,208;0,196
1044;Tudo parece cinzento e sem cor. estou desorientado e não consigo manter o foco em nada. tenho tido ataques de pânico leves no meio da noite. estou exausto. o corpo dói e a mente está lenta. meu estômago está revirado só de pensar na próxima apresentação. fui mal na prova e isso só piora meu humor. não sinto mais prazer nas coisas que gostava. o trânsito estava horrível, cheguei atrasado na primeira aula.;0,672;0,366;0,206
1045;Sinto que o tempo está correndo e eu estou ficando para trás. tenho tido ataques de pânico leves no meio da noite. lavei as roupas hoje, a pilha estava gigante. minhas notas refletem meu desinteresse.;0,589;0,37;0,32
1046;Consegui ter um bom tempo de descanso hoje. lavei as roupas hoje, a pilha estava gigante. o tcc está travado, não consigo escrever uma linha coerente. consegui me organizar bem para a prova.;0,189;0,155;0,145
1047;Não vejo sentido em continuar tentando. não consigo parar de pensar no prazo final. comi uma coisa nova no ru, estava razoável. a solidão bateu forte hoje, mesmo estando rodeado de gente. estou com medo de ser reprovado em duas matérias.;0,37;0,455;0,286
1048;Comi uma coisa nova no ru, estava razoável. estou com medo de ser reprovado em duas matérias.;0,322;0,185;0,15
1049;Choveu o dia todo, não consegui sair para a rua. tirei uma nota alta na prova difícil, estou aliviado. o esforço valeu a pena, senti-me competente. consegui me organizar bem para a prova.;0,256;0,251;0,127
1050;Durmo mal e acordo com a sensação de não ter descansado. estou animado com o novo tópico da matéria. lavei as roupas hoje, a pilha estava gigante. o esforço valeu a pena, senti-me competente. a faculdade virou uma tortura, o trabalho nunca acaba. não estou sentindo aquela pressão de antes.;0,341;0,204;0,429
1051;Consegui ter um bom tempo de descanso hoje. consegui avançar muito no projeto de pesquisa. lavei as roupas hoje, a pilha estava gigante. não estou sentindo aquela pressão de antes.;0,127;0,171;0,181
1052;O trânsito estava horrível, cheguei atrasado na primeira aula. minha cabeça não desliga, repasso tudo mil vezes antes de dormir. é um esforço enorme levantar da cama. tenho tido ataques de pânico leves no meio da noite. não vejo sentido em continuar tentando. estou com medo de ser reprovado em duas matérias.;0,774;0,297;0,27
1053;Sinto que sou um fardo para minha família e amigos. comi uma coisa nova no ru, estava razoável. tenho acumulado muitas faltas, a recuperação será difícil. não vejo sentido em continuar tentando.;0,34;0,468;0,385
1054;Estou exausto. o corpo dói e a mente está lenta. não sinto mais prazer nas coisas que gostava. minhas notas refletem meu desinteresse. o trânsito estava horrível, cheguei atrasado na primeira aula.;0,426;0,306;0,58
1055;Consegui avançar muito no projeto de pesquisa. não estou sentindo aquela pressão de antes. choveu o dia todo, não consegui sair para a rua. estou sempre preocupado com o que pode dar errado. organizei minha rotina e a exaustão diminuiu. minha cabeça não desliga, repasso tudo mil vezes antes de dormir.;0,464;0,313;0,171
1056;Meu estômago está revirado só de pensar na próxima apresentação. comi uma coisa nova no ru, estava razoável. consegui ter um bom tempo de descanso hoje. estou animado com o novo tópico da matéria. as preocupações de ontem diminuíram hoje.;0,343;0,11;0,154
1057;Estou animado com o novo tópico da matéria. não estou sentindo aquela pressão de antes. choveu o dia todo, não consegui sair para a rua. me senti produtivo e o trabalho fluiu bem.;0,202;0,152;0,101
1058;Tenho acumulado muitas faltas, a recuperação será difícil. não vejo sentido em continuar tentando. choveu o dia todo, não consegui sair para a rua.;0,503;0,542;0,279
1059;Tirei uma nota alta na prova difícil, estou aliviado. consegui me organizar bem para a prova. o esforço valeu a pena, senti-me competente. choveu o dia todo, não consegui sair para a rua.;0,238;0,198;0,112
1060;As preocupações de ontem diminuíram hoje. tirei uma nota alta na prova difícil, estou aliviado. me senti produtivo e o trabalho fluiu bem. comi uma coisa nova no ru, estava razoável.;0,173;0,161;0,159
1061;Consegui avançar muito no projeto de pesquisa. comi uma coisa nova no ru, estava razoável. organizei minha rotina e a exaustão diminuiu. não estou sentindo aquela pressão de antes.;0,122;0,154;0,39
1062;Minhas notas vieram boas, o esforço valeu a pena!. choveu o dia todo, não consegui sair para a rua. meu estômago está revirado só de pensar na próxima apresentação. é um esforço enorme levantar da cama. não consigo parar de pensar no prazo final. sinto que sou um fardo para minha família e amigos.;0,681;0,266;0,238
1063;Me senti produtivo e o trabalho fluiu bem. tenho tido ataques de pânico leves no meio da noite. minha cabeça não desliga, repasso tudo mil vezes antes de dormir. não estou sentindo aquela pressão de antes. o trânsito estava horrível, cheguei atrasado na primeira aula. o tcc está travado, não consigo escrever uma linha coerente.;0,561;0,183;0,26
1064;Consegui avançar muito no projeto de pesquisa. estou sempre preocupado com o que pode dar errado. consegui ter um bom tempo de descanso hoje. tenho tido ataques de pânico leves no meio da noite. as preocupações de ontem diminuíram hoje. choveu o dia todo, não consegui sair para a rua.;0,48;0,286;0,112
1065;Choveu o dia todo, não consegui sair para a rua. estou exausto. o corpo dói e a mente está lenta. é um esforço enorme levantar da cama. tirei uma nota alta na prova difícil, estou aliviado.;0,409;0,322;0,177
1066;Choveu o dia todo, não consegui sair para a rua. é um esforço enorme levantar da cama. a solidão bateu forte hoje, mesmo estando rodeado de gente. tenho acumulado muitas faltas, a recuperação será difícil.;0,528;0,562;0,169
1067;Comi uma coisa nova no ru, estava razoável. não vejo sentido em continuar tentando. o tcc está travado, não consigo escrever uma linha coerente.;0,284;0,245;0,352
1068;Minhas notas refletem meu desinteresse. comi uma coisa nova no ru, estava razoável. não vejo sentido em continuar tentando.;0,191;0,3;0,663
1069;Organizei minha rotina e a exaustão diminuiu. o trânsito estava horrível, cheguei atrasado na primeira aula. as preocupações de ontem diminuíram hoje. fui mal na prova e isso só piora meu humor. durmo mal e acordo com a sensação de não ter descansado.;0,436;0,243;0,301
1070;Tenho acumulado muitas faltas, a recuperação será difícil. sinto um cinismo e irritação com todo mundo da faculdade. sinto que sou um fardo para minha família e amigos. não sinto mais prazer nas coisas que gostava. comi uma coisa nova no ru, estava razoável.;0,306;0,447;0,466
1071;Meu estômago está revirado só de pensar na próxima apresentação. fui mal na prova e isso só piora meu humor. comi uma coisa nova no ru, estava razoável. tenho tido ataques de pânico leves no meio da noite. durmo mal e acordo com a sensação de não ter descansado.;0,743;0,345;0,199
1072;Tenho acumulado muitas faltas, a recuperação será difícil. tudo parece cinzento e sem cor. estou sempre preocupado com o que pode dar errado. minha cabeça não desliga, repasso tudo mil vezes antes de dormir. comi uma coisa nova no ru, estava razoável. sinto que sou um fardo para minha família e amigos.;0,585;0,562;0,206
1073;As coisas parecem sob controle. quero largar tudo e sumir para ter paz mental. sinto um cinismo e irritação com todo mundo da faculdade. estou animado com o novo tópico da matéria. organizei minha rotina e a exaustão diminuiu. o trânsito estava horrível, cheguei atrasado na primeira aula.;0,507;0,164;0,316
1074;O tcc está travado, não consigo escrever uma linha coerente. choveu o dia todo, não consegui sair para a rua. não sinto mais prazer nas coisas que gostava. sinto que o tempo está correndo e eu estou ficando para trás. é um esforço enorme levantar da cama.;0,533;0,414;0,335
1075;Estou sempre preocupado com o que pode dar errado. a solidão bateu forte hoje, mesmo estando rodeado de gente. lavei as roupas hoje, a pilha estava gigante. tenho acumulado muitas faltas, a recuperação será difícil.;0,663;0,644;0,105
1076;Consegui me organizar bem para a prova. minhas notas vieram boas, o esforço valeu a pena!. o trânsito estava horrível, cheguei atrasado na primeira aula. me senti produtivo e o trabalho fluiu bem.;0,2;0,126;0,13
1077;Estou sempre preocupado com o que pode dar errado. fui mal na prova e isso só piora meu humor. tenho tido ataques de pânico leves no meio da noite. minha cabeça não desliga, repasso tudo mil vezes antes de dormir. lavei as roupas hoje, a pilha estava gigante. sinto um cinismo e irritação com todo mundo da faculdade. tudo parece cinzento e sem cor. estou desorientado e não consigo manter o foco em nada.;0,854;0,518;0,117
1078;Estou sempre preocupado com o que pode dar errado. lavei as roupas hoje, a pilha estava gigante. tenho tido ataques de pânico leves no meio da noite. tenho acumulado muitas faltas, a recuperação será difícil.;0,876;0,519;0,066
1079;Consegui me organizar bem para a prova. me senti produtivo e o trabalho fluiu bem. fui mal na prova e isso só piora meu humor. lavei as roupas hoje, a pilha estava gigante.;0,266;0,296;0,184
1080;Lavei as roupas hoje, a pilha estava gigante. tenho acumulado muitas faltas, a recuperação será difícil.;0,347;0,359;0,221
1081;As preocupações de ontem diminuíram hoje. consegui avançar muito no projeto de pesquisa. o esforço valeu a pena, senti-me competente. lavei as roupas hoje, a pilha estava gigante.;0,117;0,13;0,163
1082;A solidão bateu forte hoje, mesmo estando rodeado de gente. minhas notas vieram boas, o esforço valeu a pena!. comi uma coisa nova no ru, estava razoável.;0,129;0,328;0,203
1083;Comi uma coisa nova no ru, estava razoável. estou animado com o novo tópico da matéria. não vejo sentido em continuar tentando.;0,204;0,164;0,299
1084;O esforço valeu a pena, senti-me competente. tenho acumulado muitas faltas, a recuperação será difícil. tenho tido ataques de pânico leves no meio da noite. consegui me organizar bem para a prova. estou sempre preocupado com o que pode dar errado. o trânsito estava horrível, cheguei atrasado na primeira aula.;0,671;0,225;0,161
1085;Não sinto mais prazer nas coisas que gostava. fui mal na prova e isso só piora meu humor. lavei as roupas hoje, a pilha estava gigante. minha cabeça não desliga, repasso tudo mil vezes antes de dormir.;0,374;0,403;0,417
1086;Sinto que sou um fardo para minha família e amigos. não vejo sentido em continuar tentando. choveu o dia todo, não consegui sair para a rua. durmo mal e acordo com a sensação de não ter descansado. estou animado com o novo tópico da matéria.;0,533;0,432;0,205
1087;Consegui me organizar bem para a prova. tirei uma nota alta na prova difícil, estou aliviado. me senti produtivo e o trabalho fluiu bem. comi uma coisa nova no ru, estava razoável.;0,12;0,127;0,146
1088;Meu estômago está revirado só de pensar na próxima apresentação. consegui avançar muito no projeto de pesquisa. comi uma coisa nova no ru, estava razoável. consegui ter um bom tempo de descanso hoje. as preocupações de ontem diminuíram hoje.;0,304;0,126;0,17
1089;Não sinto mais prazer nas coisas que gostava. tirei uma nota alta na prova difícil, estou aliviado. tudo parece cinzento e sem cor. lavei as roupas hoje, a pilha estava gigante.;0,173;0,281;0,397
1090;Sinto que sou um fardo para minha família e amigos. choveu o dia todo, não consegui sair para a rua. fui mal na prova e isso só piora meu humor. não vejo sentido em continuar tentando.;0,502;0,69;0,309
1091;As preocupações de ontem diminuíram hoje. lavei as roupas hoje, a pilha estava gigante. consegui ter um bom tempo de descanso hoje. consegui avançar muito no projeto de pesquisa.;0,114;0,146;0,178
1092;É um esforço enorme levantar da cama. estou com medo de ser reprovado em duas matérias. tudo parece cinzento e sem cor. lavei as roupas hoje, a pilha estava gigante.;0,456;0,427;0,189
1093;Sinto que sou um fardo para minha família e amigos. estou desorientado e não consigo manter o foco em nada. tenho acumulado muitas faltas, a recuperação será difícil. lavei as roupas hoje, a pilha estava gigante. tudo parece cinzento e sem cor.;0,516;0,661;0,24
1094;O tcc está travado, não consigo escrever uma linha coerente. a faculdade virou uma tortura, o trabalho nunca acaba. minha cabeça não desliga, repasso tudo mil vezes antes de dormir. sinto um cinismo e irritação com todo mundo da faculdade. não consigo parar de pensar no prazo final. é um esforço enorme levantar da cama. sinto que o tempo está correndo e eu estou ficando para trás. choveu o dia todo, não consegui sair para a rua.;0,71;0,295;0,436
1095;Minhas notas refletem meu desinteresse. as coisas parecem sob controle. o trânsito estava horrível, cheguei atrasado na primeira aula. organizei minha rotina e a exaustão diminuiu.;0,273;0,214;0,386
1096;Minhas notas vieram boas, o esforço valeu a pena!. o esforço valeu a pena, senti-me competente. lavei as roupas hoje, a pilha estava gigante. as coisas parecem sob controle. estou desorientado e não consigo manter o foco em nada.;0,347;0,244;0,236
1097;É um esforço enorme levantar da cama. tudo parece cinzento e sem cor. fui mal na prova e isso só piora meu humor. lavei as roupas hoje, a pilha estava gigante.;0,478;0,512;0,242
1098;Sinto que sou um fardo para minha família e amigos. não sinto mais prazer nas coisas que gostava. choveu o dia todo, não consegui sair para a rua. meu estômago está revirado só de pensar na próxima apresentação. tenho acumulado muitas faltas, a recuperação será difícil.;0,539;0,549;0,223
1099;Choveu o dia todo, não consegui sair para a rua. não sinto mais prazer nas coisas que gostava. não consigo parar de pensar no prazo final. tudo parece cinzento e sem cor. sinto que o tempo está correndo e eu estou ficando para trás. minhas notas refletem meu desinteresse. meu estômago está revirado só de pensar na próxima apresentação.;0,59;0,383;0,247
1100;Não estou sentindo aquela pressão de antes. tirei uma nota alta na prova difícil, estou aliviado. organizei minha rotina e a exaustão diminuiu. choveu o dia todo, não consegui sair para a rua.;0,217;0,189;0,208
1101;Tenho acumulado muitas faltas, a recuperação será difícil. minha cabeça não desliga, repasso tudo mil vezes antes de dormir. meu estômago está revirado só de pensar na próxima apresentação. choveu o dia todo, não consegui sair para a rua. tudo parece cinzento e sem cor.;0,665;0,438;0,209
1102;Tirei uma nota alta na prova difícil, estou aliviado. as preocupações de ontem diminuíram hoje. choveu o dia todo, não consegui sair para a rua. organizei minha rotina e a exaustão diminuiu.;0,249;0,205;0,151
1103;Tenho tido ataques de pânico leves no meio da noite. o trânsito estava horrível, cheguei atrasado na primeira aula. minha cabeça não desliga, repasso tudo mil vezes antes de dormir. tirei uma nota alta na prova difícil, estou aliviado. estou sempre preocupado com o que pode dar errado.;0,86;0,321;0,082
1104;Estou desorientado e não consigo manter o foco em nada. quero largar tudo e sumir para ter paz mental. o trânsito estava horrível, cheguei atrasado na primeira aula. a solidão bateu forte hoje, mesmo estando rodeado de gente. estou com medo de ser reprovado em duas matérias.;0,592;0,569;0,249
1105;Estou com medo de ser reprovado em duas matérias. estou sempre preocupado com o que pode dar errado. comi uma coisa nova no ru, estava razoável. sinto que sou um fardo para minha família e amigos.;0,661;0,339;0,153
1106;É um esforço enorme levantar da cama. tenho acumulado muitas faltas, a recuperação será difícil. lavei as roupas hoje, a pilha estava gigante.;0,424;0,412;0,214
1107;Tirei uma nota alta na prova difícil, estou aliviado. não consigo parar de pensar no prazo final. choveu o dia todo, não consegui sair para a rua. consegui ter um bom tempo de descanso hoje. estou sempre preocupado com o que pode dar errado. consegui me organizar bem para a prova. sinto que o tempo está correndo e eu estou ficando para trás.;0,524;0,216;0,122
1108;O trânsito estava horrível, cheguei atrasado na primeira aula. as coisas parecem sob controle. quero largar tudo e sumir para ter paz mental. consegui ter um bom tempo de descanso hoje. estou animado com o novo tópico da matéria. estou exausto. o corpo dói e a mente está lenta.;0,598;0,153;0,246
1109;Me senti produtivo e o trabalho fluiu bem. as preocupações de ontem diminuíram hoje. consegui avançar muito no projeto de pesquisa. choveu o dia todo, não consegui sair para a rua. estou desorientado e não consigo manter o foco em nada. sinto um cinismo e irritação com todo mundo da faculdade.;0,346;0,317;0,31
1110;Tenho acumulado muitas faltas, a recuperação será difícil. choveu o dia todo, não consegui sair para a rua. não sinto mais prazer nas coisas que gostava. sinto que sou um fardo para minha família e amigos. estou desorientado e não consigo manter o foco em nada.;0,457;0,663;0,23
1111;Sinto que sou um fardo para minha família e amigos. meu estômago está revirado só de pensar na próxima apresentação. minha cabeça não desliga, repasso tudo mil vezes antes de dormir. choveu o dia todo, não consegui sair para a rua. a solidão bateu forte hoje, mesmo estando rodeado de gente. não consigo parar de pensar no prazo final. tirei uma nota alta na prova difícil, estou aliviado.;0,627;0,398;0,169
1112;Meu estômago está revirado só de pensar na próxima apresentação. tirei uma nota alta na prova difícil, estou aliviado. lavei as roupas hoje, a pilha estava gigante. sinto que sou um fardo para minha família e amigos. a solidão bateu forte hoje, mesmo estando rodeado de gente. não consigo parar de pensar no prazo final.;0,515;0,355;0,173
1113;Tenho acumulado muitas faltas, a recuperação será difícil. tenho tido ataques de pânico leves no meio da noite. sinto que sou um fardo para minha família e amigos. sinto que o tempo está correndo e eu estou ficando para trás. estou sempre preocupado com o que pode dar errado. o trânsito estava horrível, cheguei atrasado na primeira aula.;0,793;0,547;0,174
1114;Organizei minha rotina e a exaustão diminuiu. comi uma coisa nova no ru, estava razoável. as coisas parecem sob controle. minhas notas vieram boas, o esforço valeu a pena!.;0,139;0,107;0,267
1115;Estou exausto. o corpo dói e a mente está lenta. não estou sentindo aquela pressão de antes. lavei as roupas hoje, a pilha estava gigante. me senti produtivo e o trabalho fluiu bem. tirei uma nota alta na prova difícil, estou aliviado.;0,234;0,244;0,327
1116;Tirei uma nota alta na prova difícil, estou aliviado. o trânsito estava horrível, cheguei atrasado na primeira aula. organizei minha rotina e a exaustão diminuiu. as coisas parecem sob controle.;0,314;0,134;0,172
1117;As preocupações de ontem diminuíram hoje. minhas notas refletem meu desinteresse. estou sempre preocupado com o que pode dar errado. o trânsito estava horrível, cheguei atrasado na primeira aula. organizei minha rotina e a exaustão diminuiu.;0,419;0,22;0,252
1118;Sinto que o tempo está correndo e eu estou ficando para trás. comi uma coisa nova no ru, estava razoável. o tcc está travado, não consigo escrever uma linha coerente.;0,351;0,219;0,355
1119;Tenho acumulado muitas faltas, a recuperação será difícil. sinto que sou um fardo para minha família e amigos. comi uma coisa nova no ru, estava razoável. é um esforço enorme levantar da cama.;0,374;0,38;0,342
1120;O tcc está travado, não consigo escrever uma linha coerente. lavei as roupas hoje, a pilha estava gigante. as preocupações de ontem diminuíram hoje. consegui ter um bom tempo de descanso hoje.;0,224;0,214;0,224
1121;As coisas parecem sob controle. meu estômago está revirado só de pensar na próxima apresentação. minhas notas refletem meu desinteresse. comi uma coisa nova no ru, estava razoável. não consigo parar de pensar no prazo final. organizei minha rotina e a exaustão diminuiu. estou sempre preocupado com o que pode dar errado.;0,728;0,2;0,217
1122;Sinto que sou um fardo para minha família e amigos. tenho tido ataques de pânico leves no meio da noite. minha cabeça não desliga, repasso tudo mil vezes antes de dormir. comi uma coisa nova no ru, estava razoável. estou com medo de ser reprovado em duas matérias. não sinto mais prazer nas coisas que gostava.;0,673;0,623;0,185
1123;Não estou sentindo aquela pressão de antes. tirei uma nota alta na prova difícil, estou aliviado. organizei minha rotina e a exaustão diminuiu. o trânsito estava horrível, cheguei atrasado na primeira aula.;0,198;0,154;0,247
1124;Lavei as roupas hoje, a pilha estava gigante. organizei minha rotina e a exaustão diminuiu. tirei uma nota alta na prova difícil, estou aliviado. consegui me organizar bem para a prova.;0,171;0,198;0,158
1125;Comi uma coisa nova no ru, estava razoável. o tcc está travado, não consigo escrever uma linha coerente. não consigo parar de pensar no prazo final. consegui me organizar bem para a prova. o esforço valeu a pena, senti-me competente. meu estômago está revirado só de pensar na próxima apresentação.;0,412;0,08;0,175
1126;Minhas notas refletem meu desinteresse. sinto que sou um fardo para minha família e amigos. meu estômago está revirado só de pensar na próxima apresentação. sinto que o tempo está correndo e eu estou ficando para trás. lavei as roupas hoje, a pilha estava gigante. tenho tido ataques de pânico leves no meio da noite.;0,62;0,33;0,343
1127;O trânsito estava horrível, cheguei atrasado na primeira aula. minhas notas vieram boas, o esforço valeu a pena!.;0,337;0,182;0,181
1128;Tirei uma nota alta na prova difícil, estou aliviado. meu estômago está revirado só de pensar na próxima apresentação. comi uma coisa nova no ru, estava razoável. minha cabeça não desliga, repasso tudo mil vezes antes de dormir.;0,433;0,137;0,177
1129;Durmo mal e acordo com a sensação de não ter descansado. não vejo sentido em continuar tentando. choveu o dia todo, não consegui sair para a rua. estou exausto. o corpo dói e a mente está lenta. minhas notas vieram boas, o esforço valeu a pena!.;0,482;0,42;0,403
